,Product Name,Price,Gender,Product Category,Product Sub Category and Size
95,"YOSKINEMezo Peptide Expertserum, modelujące owal twarzy,30 ml","72,99 zł",female,twarz,"serum, modelujące owal twarzy,30 ml"
96,"YOSKINEMezo Peptide Expertkrem do twarzy, ujędrniający, przeciwzmarszczkowy 60+, na dzień/noc,50 ml","69,99 zł",female,twarz,"krem do twarzy, ujędrniający, przeciwzmarszczkowy 60+, na dzień/noc,50 ml"
97,"YOSKINEMezo Peptide Expertkrem do twarzy, regenerujący, przeciwzmarszczkowy 70+, na dzień/noc,50 ml","69,99 zł",female,twarz,"krem do twarzy, regenerujący, przeciwzmarszczkowy 70+, na dzień/noc,50 ml"
98,"YOSKINEMezo Peptide Expertkrem do twarzy przeciwzmarszczkowy, wygładzający, 50+,50 ml","69,99 zł",female,twarz,"krem do twarzy przeciwzmarszczkowy, wygładzający, 50+,50 ml"
99,"YOSKINESupreme-Vit B12&Cserum redukujące przebarwienia, z kwasem traneksamowym,30 ml","69,99 zł",female,twarz,"serum redukujące przebarwienia, z kwasem traneksamowym,30 ml"
100,"YOSKINESupreme-Vit B12&Ckrem na dzień, przeciwzmarszczkowy, 50+, nawilżający,50 ml","67,99 zł",female,twarz,"krem na dzień, przeciwzmarszczkowy, 50+, nawilżający,50 ml"
101,"YOSKINESupreme-Vit B12&Ckrem na noc, przeciwzmarszczkowy, 50+, regenerujący,50 ml","67,99 zł",female,twarz,"krem na noc, przeciwzmarszczkowy, 50+, regenerujący,50 ml"
102,"YOSKINESupreme-Vit B12&Ckrem na dzień, przeciwzmarszczkowy, 60+, wypełniający,50 ml","67,99 zł",female,twarz,"krem na dzień, przeciwzmarszczkowy, 60+, wypełniający,50 ml"
103,"YOSKINESupreme-Vit B12&Ckrem na noc, przeciwzmarszczkowy, 60+, naprawczy,50 ml","67,99 zł",female,twarz,"krem na noc, przeciwzmarszczkowy, 60+, naprawczy,50 ml"
104,"YOSKINEBIO Collagenkrem pod oczy i na powieki, przeciwzmarszczkowy, z herbatą matcha,15 ml","25,99 zł",female,twarz,"krem pod oczy i na powieki, przeciwzmarszczkowy, z herbatą matcha,15 ml"
105,"YOSKINEGeisha Gold Secretkrem do twarzy, przeciwzmarszczkowy, z nićmi jedwabiu, 55+, dzień/noc,50 ml","41,99 zł",female,twarz,"krem do twarzy, przeciwzmarszczkowy, z nićmi jedwabiu, 55+, dzień/noc,50 ml"
106,"YOSKINEGeisha Gold Secretkrem do twarzy, przeciwzmarszczkowy, z algą nori, 65+, dzień/noc,50 ml","41,99 zł",female,twarz,"krem do twarzy, przeciwzmarszczkowy, z algą nori, 65+, dzień/noc,50 ml"
107,"YOSKINETsubaki Anti-Agekrem na powieki i okolice oczu, lumi-ceramidowe wygładzenie,15 ml","41,99 zł",female,twarz,"krem na powieki i okolice oczu, lumi-ceramidowe wygładzenie,15 ml"
108,"YOSKINETsubaki Anti-Agekrem do twarzy, menokomórkowe odmłodzenie, 55+, dzień/noc,50 ml","53,99 zł",female,twarz,"krem do twarzy, menokomórkowe odmłodzenie, 55+, dzień/noc,50 ml"
109,"YOSKINETsubaki Anti-Agekrem do twarzy, fito-witaminowa odbudowa, 65+, dzień/noc,50 ml","53,99 zł",female,twarz,"krem do twarzy, fito-witaminowa odbudowa, 65+, dzień/noc,50 ml"
110,"UZDROVISCOBioklinikaserum mikrozastrzyk, przeciwzmarszczkowe, 50-70+,50 ml","68,99 zł",female,twarz,"serum mikrozastrzyk, przeciwzmarszczkowe, 50-70+,50 ml"
111,"UZDROVISCOBioklinikakrem pod oczy, redukujący zmarszczki, 50-70+,25 ml","58,99 zł",female,twarz,"krem pod oczy, redukujący zmarszczki, 50-70+,25 ml"
112,"UZDROVISCOBioklinikakrem do twarzy przeciwzmarszczkowy, 50+, ujędrniający,50 ml","68,99 zł",female,twarz,"krem do twarzy przeciwzmarszczkowy, 50+, ujędrniający,50 ml"
113,"UZDROVISCOBioklinikakrem do twarzy przeciwzmarszczkowy, 60+, odbudowujący,50 ml","68,99 zł",female,twarz,"krem do twarzy przeciwzmarszczkowy, 60+, odbudowujący,50 ml"
114,"UZDROVISCOBioklinikakrem do twarzy przeciwzmarszczkowy, 70+, regenerujący,,50 ml","68,99 zł",female,twarz,"krem do twarzy przeciwzmarszczkowy, 70+, regenerujący,,50 ml"
115,"JANDACollagen Reconstructorserum-odżywka do twarzy, odmładzające, Naturalny Kolagen,50 ml","58,99 zł",female,twarz,"serum-odżywka do twarzy, odmładzające, Naturalny Kolagen,50 ml"
116,"JANDACollagen Reconstructorkrem pod oczy, redukujący zmarszczki i cienie, Naturalny Kolagen,15 ml","39,99 zł",female,twarz,"krem pod oczy, redukujący zmarszczki i cienie, Naturalny Kolagen,15 ml"
117,"JANDACollagen Reconstructorkrem do twarzy, ujędrniający, Naturalny Kolagen, na dzień,50 ml","58,99 zł",female,twarz,"krem do twarzy, ujędrniający, Naturalny Kolagen, na dzień,50 ml"
118,"JANDACollagen Reconstructorkrem do twarzy, ujędrniający, Naturalny Kolagen, na noc,50 ml","58,99 zł",female,twarz,"krem do twarzy, ujędrniający, Naturalny Kolagen, na noc,50 ml"
119,"JANDAHialuron Reconstructorserum-booster do twarzy, redukcja zmarszczek, wygładzenie,  odmłodzenie,30 ml","49,99 zł",female,twarz,"serum-booster do twarzy, redukcja zmarszczek, wygładzenie,  odmłodzenie,30 ml"
120,"JANDAHialuron Reconstructorkrem do twarzy na dzień dobry, wygładzenie, wielopoziomowe nawilżenie, regeneracja,50 ml","49,99 zł",female,twarz,"krem do twarzy na dzień dobry, wygładzenie, wielopoziomowe nawilżenie, regeneracja,50 ml"
121,"JANDAHialuron Reconstructorkrem do twarzy na dobranoc, redukcja zmarszczek, nawilżenie, odżywienie,50 ml","49,99 zł",female,twarz,"krem do twarzy na dobranoc, redukcja zmarszczek, nawilżenie, odżywienie,50 ml"
122,"JANDASiła Nici Kosmetycznych Fortekrem do twarzy, redukujący zmarszczki, Czarna Róża, dzień/noc,50 ml","36,99 zł",female,twarz,"krem do twarzy, redukujący zmarszczki, Czarna Róża, dzień/noc,50 ml"
123,"JANDASiła Nici Kosmetycznych Fortekrem do twarzy, redukujący zmarszczki, Czarna Róża, 50+, na noc,50 ml","33,99 zł",female,twarz,"krem do twarzy, redukujący zmarszczki, Czarna Róża, 50+, na noc,50 ml"
124,"JANDASiła Nici Kosmetycznych Fortekrem do twarzy, redukujący zmarszczki, forte, Czarna Róża, 60+, na dzień,50 ml","33,99 zł",female,twarz,"krem do twarzy, redukujący zmarszczki, forte, Czarna Róża, 60+, na dzień,50 ml"
125,"JANDASiła Nici Kosmetycznych Fortekrem do twarzy, redukujący zmarszczki, forte, Czarna Róża, 60+, na noc,50 ml","33,99 zł",female,twarz,"krem do twarzy, redukujący zmarszczki, forte, Czarna Róża, 60+, na noc,50 ml"
